,1,2,3,4,5,6,9,10,11,12,20
0,башня,армия,а,замок,воин,быть,дракон,король,в,он,и
1,безопасность,вместе,о,империя,из,рыцарь,,,,,
2,битва,внутри,они,на,к,с,,,,,
3,бой,войско,пещера,не,но,что,,,,,
4,болота,восток,,свой,,,,,,,
5,брон,гора,,,,,,,,,
6,будущее,долгий,,,,,,,,,
7,было,жить,,,,,,,,,
8,ведь,знать,,,,,,,,,
9,великий,конец,,,,,,,,,
10,величественен,который,,,,,,,,,
11,вернуться,лес,,,,,,,,,
12,весь,много,,,,,,,,,
13,возвращение,мудрость,,,,,,,,,
14,возглавить,опасный,,,,,,,,,
15,восхищение,отправиться,,,,,,,,,
16,вперёд,по,,,,,,,,,
17,встать,победить,,,,,,,,,
18,встречать,покрыть,,,,,,,,,
19,встречаться,путь,,,,,,,,,
20,вылететь,рассказ,,,,,,,,,
21,вырываться,снова,,,,,,,,,
22,высокий,справедливость,,,,,,,,,
23,где,стать,,,,,,,,,
24,глубокий,храбрый,,,,,,,,,
25,горный,,,,,,,,,,
26,громкий,,,,,,,,,,
27,густой,,,,,,,,,,
28,далеко,,,,,,,,,,
29,действие,,,,,,,,,,
30,дело,,,,,,,,,,
31,день,,,,,,,,,,
32,деревня,,,,,,,,,,
33,дикий,,,,,,,,,,
34,долго,,,,,,,,,,
35,домой,,,,,,,,,,
36,дорога,,,,,,,,,,
37,достигнуть,,,,,,,,,,
38,его,,,,,,,,,,
39,ему,,,,,,,,,,
40,если,,,,,,,,,,
41,забывать,,,,,,,,,,
42,защищать,,,,,,,,,,
43,звери,,,,,,,,,,
44,земля,,,,,,,,,,
45,землёй,,,,,,,,,,
46,идти,,,,,,,,,,
47,имя,,,,,,,,,,
48,каждый,,,,,,,,,,
49,как,,,,,,,,,,
50,когда,,,,,,,,,,
51,королевство,,,,,,,,,,
52,легенда,,,,,,,,,,
53,лишайник,,,,,,,,,,
54,миссия,,,,,,,,,,
55,многие,,,,,,,,,,
56,момент,,,,,,,,,,
57,мох,,,,,,,,,,
58,мочь,,,,,,,,,,
59,мудрый,,,,,,,,,,
60,наготове,,,,,,,,,,
61,наконец,,,,,,,,,,
62,находиться,,,,,,,,,,
63,начаться,,,,,,,,,,
64,небо,,,,,,,,,,
65,никто,,,,,,,,,,
66,них,,,,,,,,,,
67,обязанность,,,,,,,,,,
68,огонь,,,,,,,,,,
69,огромный,,,,,,,,,,
70,однажды,,,,,,,,,,
71,одной,,,,,,,,,,
72,ожесточённый,,,,,,,,,,
73,оказаться,,,,,,,,,,
74,окружить,,,,,,,,,,
75,опасность,,,,,,,,,,
76,остановить,,,,,,,,,,
77,отряд,,,,,,,,,,
78,отступать,,,,,,,,,,
79,отчёт,,,,,,,,,,
80,пасть,,,,,,,,,,
81,передаваться,,,,,,,,,,
82,пламя,,,,,,,,,,
83,победитель,,,,,,,,,,
84,побеждён,,,,,,,,,,
85,погибнуть,,,,,,,,,,
86,подвиг,,,,,,,,,,
87,подойти,,,,,,,,,,
88,поиск,,,,,,,,,,
89,поле,,,,,,,,,,
90,помощь,,,,,,,,,,
91,понимать,,,,,,,,,,
92,посол,,,,,,,,,,
93,поход,,,,,,,,,,
94,появиться,,,,,,,,,,
95,править,,,,,,,,,,
96,правый,,,,,,,,,,
97,прежде,,,,,,,,,,
98,приготовиться,,,,,,,,,,
99,придётся,,,,,,,,,,
100,прийти,,,,,,,,,,
101,приходить,,,,,,,,,,
102,продолжать,,,,,,,,,,
103,просить,,,,,,,,,,
104,просьба,,,,,,,,,,
105,проходить,,,,,,,,,,
106,путешествие,,,,,,,,,,
107,пыль,,,,,,,,,,
108,пытаться,,,,,,,,,,
109,радость,,,,,,,,,,
110,разбойник,,,,,,,,,,
111,раздаваться,,,,,,,,,,
112,размышлять,,,,,,,,,,
113,разный,,,,,,,,,,
114,разорять,,,,,,,,,,
115,рассказать,,,,,,,,,,
116,решителен,,,,,,,,,,
117,решить,,,,,,,,,,
118,рука,,,,,,,,,,
119,рычание,,,,,,,,,,
120,сам,,,,,,,,,,
121,самый,,,,,,,,,,
122,скоординировали,,,,,,,,,,
123,скрывать,,,,,,,,,,
124,скрываться,,,,,,,,,,
125,слух,,,,,,,,,,
126,смертельный,,,,,,,,,,
127,смочь,,,,,,,,,,
128,сражаться,,,,,,,,,,
129,старый,,,,,,,,,,
130,стена,,,,,,,,,,
131,стоять,,,,,,,,,,
132,страна,,,,,,,,,,
133,странствовать,,,,,,,,,,
134,страшный,,,,,,,,,,
135,тайна,,,,,,,,,,
136,также,,,,,,,,,,
137,текущий,,,,,,,,,,
138,тень,,,,,,,,,,
139,триумфальный,,,,,,,,,,
140,трудный,,,,,,,,,,
141,тянуться,,,,,,,,,,
142,у,,,,,,,,,,
143,уголок,,,,,,,,,,
144,удовлетворённый,,,,,,,,,,
145,уже,,,,,,,,,,
146,уничтожал,,,,,,,,,,
147,управлять,,,,,,,,,,
148,уст,,,,,,,,,,
149,уста,,,,,,,,,,
150,ущелие,,,,,,,,,,
151,хороший,,,,,,,,,,
152,центр,,,,,,,,,,
153,через,,,,,,,,,,
154,чтобы,,,,,,,,,,
155,чудовище,,,,,,,,,,
156,это,,,,,,,,,,
157,этот,,,,,,,,,,
